africa,lat_abst,avexpr,logpgp95,other,asia,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,indtime
1,.13666667,5.3636365,7.7706451,0,0,0,5.6347895,68.699997,0,11.500004,0,0,1,.77275497,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,0,0,0,0,0,146000,.94999999,1,46.490002,125,22.94133,.118758,.136667,20
0,.37777779,6.3863635,9.1334591,0,0,0,4.232656,91.599998,.2,5.5000014,0,0,1,.17693181,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,0,0,0,0,0,46900,0,0,72.889999,21.799999,17.1,.123089,.37777799,170
0,.30000001,9.318182,9.8979721,1,0,1,2.1459312,29.6,.2,46.700001,1,0,0,.11279711,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,0,3,16,9,12,99100,0,1,78.25,5.5999999,20.9,.19895799,.30000001,94
1,.14444445,4.4545455,6.84588,0,0,0,5.6347895,9,43,46.400002,0,1,1,.54671812,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,1,0,0,0,0,0,.94999999,1,44.389999,98.800003,28.1,0,.144444,35
0,.26666668,5.1363635,6.877296,0,1,0,4.2684379,.2,85.900002,13.699999,1,0,0,0,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,.12008,1,58.130001,78.800003,25.686211,.40159801,.26666701,23
0,.18888889,5.6363635,7.9266024,0,0,0,4.2626801,92.5,0,5.1999998,0,0,1,.59941179,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.000002,1,0,0,0,0,14300,.00165,1,61.389999,65.599998,21.5,0,.188889,170
0,.11111111,7.909091,8.7274542,0,0,0,4.2626801,87.800003,.1,8.0999966,0,0,1,.055780932,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,0,2,.1,0,1,19400,.035999998,1,66.779999,42.400002,23.700001,.092515998,.111111,171
0,.66666669,9.727273,9.9864492,0,0,1,2.7788193,46.599998,.60000002,23.200001,1,0,0,.37618759,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,0,4,7,13,15,185000,0,0,78.980003,6,-.2,.021164,.66666698,128
0,.33333334,7.818182,9.336092,0,0,0,4.232656,82.099998,0,16.000002,0,0,1,.050625,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,0,0,0,0,0,21700,0,0,74.940002,12.8,13.4,.660182,.33333299,177
1,.088888891,7,7.4442487,0,0,0,6.5042882,18.5,24,52.799999,0,1,1,.85652989,26,31,36,15,20,93,96,71,82,0,0,0,0,0,0,0,0,0,0,0,0,7460,.94999999,1,46.720001,87.300003,26.0907,.171056,.088889003,35
1,.06666667,6.4545455,7.5010819,0,0,0,5.6347895,35,22,24.9,0,0,1,.85204548,25,31,36,14,17,97,98,62,75,0,0,0,0,0,0,0,0,0,0,0,0,31900,.94999999,1,54.73,74.400002,24.433331,.098240003,.066666998,35
1,.011111111,4.681818,7.420579,0,0,0,5.480639,53.900002,.40000001,20.799999,0,1,1,.66927534,25,32,37,12,19,77,89,54,71,0,0,0,0,0,0,0,0,0,0,0,0,338000,.94999999,1,48.549999,89.5,24.751511,.047892999,.011111,35
0,.044444446,7.318182,8.8098631,0,0,0,4.2626801,96.599998,.2,2.3000016,0,0,1,.05579602,14,22,24,4,7,82,88,51,64,0,0,0,0,0,0,25,0,0,0,0,0,57,.14637001,1,70.43,30,22.5,.159722,.044443998,163
0,.11111111,7.0454545,8.7948246,0,0,0,4.3579903,90.5,0,3.6999998,0,0,1,.053214286,21,29,33,9,14,80,92,55,78,0,0,0,0,0,0,20,0,0,0,0,0,0,0,1,76.029999,12.1,25.1,1,.111111,157
0,.21111111,6.181818,8.3640423,0,0,0,4.8675346,96.599998,0,2.0000014,0,1,1,.010830564,26,33,37,15,20,88,92,58,66,0,0,0,0,0,0,25,0,0,0,0,0,0,0,1,70.610001,33.599998,25.6,1,.21111099,151
1,.31111112,6.5,8.3893595,0,0,0,4.3592696,.5,99.099998,.40000153,0,1,1,.29372403,21,24,42,0,1,67,75,57,66,0,1,0,0,0,0,0,0,0,0,0,0,339000,0,0,68.889999,43.799999,19.299999,.047185998,.311111,33
0,.022222223,6.5454545,8.4701014,0,0,0,4.2626801,96.400002,0,1.6999985,0,0,1,.32535714,15,26,30,0,4,80,94,40,60,0,0,1,0,0,0,30.000002,0,0,0,0,0,141,.11894999,0,69.519997,45.599998,19.1,.368411,.022221999,165
1,.30000001,6.7727275,7.9515595,0,0,0,4.2165623,.2,81.800003,17.799997,1,0,1,.023061818,24,31,47,1,17,50,70,18,41,0,1,0,0,0,0,0,0,0,0,0,0,111000,0,0,66.269997,50.5,22.6,.239163,.30000001,184
1,.011111111,7.818182,8.9078827,0,0,0,5.6347895,65.199997,.80000001,15.200004,0,1,1,.79666668,27,33,37,17,19,85,95,69,79,0,0,0,0,0,0,0,0,0,0,0,0,579000,.94050002,1,52.419998,87.300003,24.5,.26179099,.011111,35
1,.088888891,6.2727275,7.36518,0,0,0,6.5042882,18.700001,15.7,39.799999,1,0,0,.70607078,27,32,38,15,21,95,97,61,77,1,0,0,0,0,0,0,0,0,0,0,0,30,.94999999,1,60,65.800003,26.35758,.192991,.088889003,35
1,.12222222,6.5454545,7.4899707,0,0,0,6.1800165,1.1,69,29.799999,0,1,1,.75983,27,31,36,17,21,83,94,63,87,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,46.5,124,24.43889,.140641,.122222,37
1,.14755556,8.272727,7.2723985,0,0,0,7.2930179,1.9,84.800003,12.899997,1,0,0,.78037035,24,33,41,7,21,66,95,26,78,0,0,0,0,0,0,0,0,0,0,0,0,0,.94999999,1,47,122,25.66596,.39976999,.14755601,30
0,.17,5.1363635,8.2940493,0,0,0,4.2626801,94,0,1.0999999,0,0,1,.47666666,19,28,32,5,12,81,92,51,72,0,0,0,0,0,0,20,0,0,0,0,0,2700,.0036000002,1,64.040001,46,21.700001,.42545801,.17,156
0,.16666667,5.318182,7.6870804,0,0,0,4.3579903,95.800003,.1,1.499997,0,0,1,.097359307,22,25,30,14,18,79,91,43,70,0,0,0,0,0,0,20,0,0,0,0,0,0,.012,1,69.400002,35,25.4,.66860199,.166667,156
