countrykey,africa,lat_abst,avexpr,logpgp95,other,asia,loghjypl,baseco,rich4,logem4,catho80,muslim80,no_cpm80,f_brit,f_french,sjlofr,avelf,temp1,temp2,temp3,temp4,temp5,humid1,humid2,humid3,humid4,steplow,deslow,stepmid,desmid,drystep,drywint,edes1975,landlock,goldm,iron,silv,zinc,oilres,malfal94,yellow,leb95,imr95,meantemp,lt100km,latabs,euro1900,democ1,cons1,indtime,democ00a,cons00a,marketref,dem,demcgv,dembmr,demreg,lp_bl,ls_bl,lh_bl,tropicar,distcr,distc,distr,ginv,polity,polity2,mortality,imputedmort,excolony,currentinst,malfal,uvdamage,suitavg,pdiv,pdiv_aa,pdivhmi,pdivhmi_aa,pd1,pd1000,pd1500,pd15001,pop1,pop1000,pop1500,legor_uk,legor_fr,temp,elevavg,elevstd,kgatr,precip,suitgini,area,abslat,cenlong,area_ar,rough,ln_yst,ln_yst_aa,europe,oceania,americas,pprotest,pcatholic,pmuslim,pother,population_initial,population_now,gdp_pc_initial,gdp_pc_now,capital_growth_pct_gdp_initial,capital_growth_pct_gdp_now,gdp_initial,gdp_now,investment_rate,gdp_growth,pop_growth,lgdp_initial,lpop_initial,airdist,brit,buddha,civ72,confuc,dens60,dens65c,dens65i,dpop6090,east,ecorg,engfrac,fertldc1,gde1,gdpch60l,geerec1,ggcfd3,govnom1,govsh61,gvr61,h60,herf00,hindu00,iprice1,laam,life060,lt100cr,malfal66,mining,newstate,oil,opendec1,orth00,othfrac,p60,pi6090,pop1560,pop60,pop6560,priexp70,prights,rerd,revcoup,scout,size60,socialist,spain,sqpi6090,tot1dec1,totind,troppop,wartime,wartorn,yrsopen,ztropics
AGO,1,.13666667,5.3636365,7.7706451,0,0,-3.4112477,1,0,5.6347895,68.699997,0,11.500004,0,0,1,.77275497,26,28,37,14,21,77,84,74,78,1,1,0,0,0,0,0,0,0,0,0,0,146000,.94999999,1,46.490002,125,22.94133,.118758,.136667,8,0,3,20,0,1,,,,,.03125,,,,1,481.495,509.51099,593.664,,,,280,280,1,172,1,269.24872,.25,.74826586,.74778289,.73973984,.73958433,.19119325,.76477301,1.529546,1.529546,238360.63,953442.5,1906885,0,1,21.66506,.97141165,.38819009,.49412951,84.62355,.37854001,1246700,12.5,18.5,30045.471,.084889762,7.130899,7.2130241,0,0,0,19.799999,68.699997,0,11.5,5890360,32866268,,2890.8928,,22.76226,,95012860718.0854,21.757454,,.034980509,,15.588828,6830,0,0,.16666667,0,258.8663,9.2919693,3.4626989,.02409583,0,0,0,,,6.8362594,,,.115,.141,,0,.98806202,0,110.38,0,,.14,1,.27000001,2,0,.47999999,0,0,.20999999,9.46,.41839999,4816,.0276163,,6.7199998,172,.69999999,0,15.315958,1,0,89.4916,.055431068,,.74910003,.44,1,0,.050131701
ARG,0,.37777779,6.3863635,9.1334591,0,0,-.8722738,1,0,4.232656,91.599998,.2,5.5000014,0,0,1,.17693181,17,25,40,-6,6,81,92,60,79,1,0,0,1,0,0,90,0,0,0,0,0,46900,0,0,72.889999,21.799999,17.1,.123089,.37777799,60.000004,1,1,170,3,3,34.144062,0,0,0,.071428575,72.400002,15.3,4,.027088869,271.642,388.40799,832.69202,24.440096,-9,-9,68.900002,68.900002,1,124,0,170.53558,.40000001,.57325119,.72473752,.56610674,.710195,.03654049,.073080979,.10303224,.10303224,99999.992,199999.98,281967.31,0,1,13.966665,.71528637,1.0026489,.000045699999,52.905045,.50347,2736690,34,-64,278047.69,.17800479,8.2427559,8.8921947,0,0,1,2.7,91.599998,.2,5.5,23880564,45376763,7084.1807,8692.708,24.440096,13.776598,169174220800,394446952845.238,19.976606,.0041007916,.012921475,8.8656197,16.988575,8570,0,0,.66666669,0,132.7459,12.4985,7.5308609,.01525467,0,5,0,1.1336576,.021,8.4033527,.022299999,.050000001,.12,.13,.084700003,.11,.95085198,0,88.209999,1,65.199997,.2,0,.02,0,0,.1305,.001,.83600003,.98000002,88.983917,.30779999,20616,.0554424,.861,3.9400001,113,.95999998,0,18.337175,0,1,7918.1372,-.010536052,.45517242,0,.36000001,1,.090000004,.0022708001
AUS,0,.30000001,9.318182,9.8979721,1,0,-.17078833,1,1,2.1459312,29.6,.2,46.700001,1,0,0,.11279711,17,18,43,-10,3,56,85,35,64,1,1,0,0,0,0,99,0,3,16,9,12,99100,0,1,78.25,5.5999999,20.9,.19895799,.30000001,98,10,7,94,10,7,29.444778,1,1,1,.95454544,29.299999,48.299999,21.5,.38188735,354.88699,354.77701,5188.8999,32.813263,10,10,8.5500002,8.5500002,1,10,0,223.12234,.19,.64405358,.72547859,,,.026033871,.026033871,.026033871,.026033871,200000,200000,200000,1,0,21.334566,.26331285,.18650851,.079323202,45.187477,.60791999,7682300,27,135,503190.66,.053394891,5.9914646,8.6785307,0,1,0,23.5,29.6,.2,46.700001,12507000,25687041,26120.621,56307.281,33.022171,22.255543,326690603008,1446367427550.64,27.672348,.015480577,.014498055,10.170481,16.341799,7800,1,0,1,0,741.09943,6.2514868,.30782571,.016453,0,5,.94999999,1.0274743,.028000001,8.959569,.0217,.090000004,.14,.1,.0513,.13,.59546,0,68.82,0,70.699997,.2,0,.039999999,0,0,.29550001,.001,0,1,6.7071033,.30090001,10315,.084633999,.81099999,1,129,0,0,18.200924,0,0,44.985233,-.016126245,.35172415,.016489999,0,0,.69,.1602212
BFA,1,.14444445,4.4545455,6.84588,0,0,-3.5404594,1,0,5.6347895,9,43,46.400002,0,1,1,.54671812,29,38,48,9,19,38,81,19,67,1,0,0,0,0,0,0,1,0,0,0,0,0,.94999999,1,44.389999,98.800003,28.1,0,.144444,0,0,3,35,0,1,14.285715,0,0,0,.032258064,,,,1,731.84497,732.24799,960.37598,10.270034,-4,-4,280,280,1,153,1,269.04742,.34999999,.74102992,.74102992,.72913665,.72913665,1.1814605,2.7567413,4.3320217,4.3320217,323247.59,754244.44,1185241.1,0,1,28.639091,.28544873,.039075699,.1176683,66.651634,.25894001,273600,13,-2,40410.723,.031311959,7.972466,7.972466,0,0,0,1.6,9,43,46.400002,5624592,20903278,307.53583,815.48083,10.270034,,1729763584,17046223028.9561,17.739998,.019695166,.026602855,5.7285914,15.542659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
BGD,0,.26666668,5.1363635,6.877296,0,1,-2.0635681,1,0,4.2684379,.2,85.900002,13.699999,1,0,0,0,25,29,42,7,24,37,74,37,74,0,0,0,0,0,0,0,0,0,0,0,0,0,.12008,1,58.130001,78.800003,25.686211,.40159801,.26666701,0,8,7,23,0,1,33.333332,,,,0,12.293732,6.1045923,.56664735,.42105263,41.123501,151.964,79.828598,11.344657,,,71.410004,71.410004,1,129,.1786233,206.00635,.76999998,.71155369,.71176815,.71170145,.71183729,8.7759151,19.874866,25.811514,25.811514,1142360.9,2587111.3,3359884.8,1,0,24.894917,.12466724,.14970571,.86747682,220.37149,.18411,130170,24,90,80835.57,.082502432,8.6125031,8.623353,0,0,0,.2,.2,85.900002,13.7,64232486,164689383,411.18439,1305.2593,11.344657,31.535517,26411395072,214962354031.804,18.470585,.023371231,.019009463,6.0190415,17.97802,4900,1,0,.5,0,2.5316,412.9494,471.4697,.027110649,0,3,0,1.9326801,.003,6.8585649,.0040000002,.02,.07,.23,.21799999,.0099999998,.53741199,.32699999,50.650002,0,43.599998,.95999998,.63200003,0,2,0,.215,0,0,.47,10.593912,.4077,51419,.0371264,,4.5,70,.62,0,17.706327,0,0,112.23098,0,.2137931,.053040002,.039999999,1,0,.32836309
BHS,0,.26833332,7.5,9.2854481,0,0,,1,0,4.4426513,25.5,0,27.300003,1,0,0,0,25,29,34,5,19,79,84,62,73,0,0,0,0,0,0,10,0,0,0,0,0,0,,1,,,,,,10,,,,,,33.333332,,,,.8888889,,,,,,,,,,,85,85,1,77,,222.92529,,.62334973,,,,.44332135,.88664275,1.329964,1.329964,4437.6465,8875.2939,13312.94,1,0,25.05584,.0048198998,,,85.282768,,10010,24.25,-76,70.07,.01352564,,,0,0,1,47.200001,25.5,0,27.299999,169376,393248,25196.27,23971.107,,,4267643392,9426590276.79686,25.249491,-.00099643727,.016989088,10.134451,12.039876,,1,0,.83333331,0,,,,,0,3,.87,,,,,,,,,,.77445602,0,,1,63.399986,,,,2,0,,0,0,,,,,,.954,1.5,,0,,,,0,,,.17931035,,,,,
BOL,0,.18888889,5.6363635,7.9266024,0,0,-1.9661129,1,0,4.2626801,92.5,0,5.1999998,0,0,1,.59941179,12,21,27,-3,2,77,93,49,74,0,0,0,0,0,0,30.000002,1,0,0,0,0,14300,.00165,1,61.389999,65.599998,21.5,0,.188889,30.000002,1,3,170,4,3,61.486931,0,0,0,.071428575,26.650803,15.971729,4.2459731,1,453.98001,743.672,623.24799,16.385303,-5,-5,71,71,1,155,.0113571,271.7995,.36000001,.58997166,.62788653,.58225352,.61778611,.27665579,.55331159,.82996738,.82996738,300000,600000,900000,0,1,20.58424,1.2821325,1.453222,.47296271,92.224113,.44879001,1084380,17,-65,29278.26,.1836364,8.2940493,8.4902058,0,0,1,2.3,92.5,0,5.1999998,4484004,11673029,1399.5151,2345.4849,16.388016,,6275431936,27378912014.667,17.353144,.010380835,.019319544,7.2438812,15.316027,6500,0,0,.5,0,316.3302,0,3.4563529,.02513803,0,3,0,1.8761005,.016000001,7.0457764,.015799999,.050000001,.1,.15000001,.1212,.039999999,.88019198,0,38.009998,1,42.799999,.02,.01089,.079999998,0,0,.5395,0,.37200001,.63999999,46.577145,.42809999,3428,.031796999,.96899998,4.1100001,181,1.1900001,0,15.185509,0,1,2169.4307,.015762903,.29655173,1,0,0,.73000002,.20404489
BRA,0,.11111111,7.909091,8.7274542,0,0,-1.1425642,1,0,4.2626801,87.800003,.1,8.0999966,0,0,1,.055780932,25,32,39,10,18,82,87,68,74,1,0,0,0,0,0,55,0,2,.1,0,1,19400,.035999998,1,66.779999,42.400002,23.700001,.092515998,.111111,40,1,1,171,1,3,23.809525,0,0,0,.071428575,46,9.6000004,2,.93123257,315.76401,683.27802,610.33801,20.542032,-9,-9,71,71,1,130,.033296701,245.50893,.2,.58142459,.71527362,.55520362,.6899178,.04728457,.082747988,.11821141,.11821141,400000.03,700000,1000000,0,1,24.686508,.30682787,.2582925,.84269881,150.54657,.62272,8459420,10,-55,576086.5,.071112469,8.1605186,8.6616516,0,0,1,4,87.800003,.1,8.1000004,95113265,212559409,4704.3174,10672.178,20.542032,15.404865,447443009536,2268471792918.29,19.867256,.016518129,.016213089,8.4562359,18.370579,7700,0,0,.33333334,0,116.4905,36.768089,7.235476,.02452847,0,3,0,1.6146245,.017000001,7.4866133,.0041,.059999999,.16,.14,.1199,.02,.90958798,0,48.220001,1,54.900002,.20999999,.4005,.02,0,0,.1485,0,.99800003,.94999999,72.06443,.4357,72594,.028969301,.85799998,3.3900001,97,.12,0,18.679251,0,0,5193.2822,-.016507976,.48965517,.3378,0,0,.090000004,.33406991
CAN,0,.66666669,9.727273,9.9864492,0,0,-.060812157,1,1,2.7788193,46.599998,.60000002,23.200001,1,0,0,.37618759,4,12,39,-37,3,76,90,40,76,0,0,1,0,0,0,98,0,4,7,13,15,185000,0,0,78.980003,6,-.2,.021164,.66666698,99,7,7,128,9,7,50.461567,1,1,1,.95454544,38.400002,46.20776,13.992241,0,1466.67,1567.98,1690.72,21.519423,10,10,16.1,16.1,,17,0,44.393379,.059999999,.63437933,.7248683,.65534198,.71621138,.01099685,.01099685,.02199371,.02199371,99999.969,99999.969,200000.02,1,0,-7.9294114,.3764497,.3955301,0,39.091862,.85712999,9093510,60,-96,458312.91,.11372162,7.3132205,8.7567511,0,0,1,29.6,46.599998,.60000002,23.200001,21324000,38005238,,48617.09,22.198841,22.100386,,1847703996298.69,22.703524,,.011624865,,16.875343,540,1,0,1,0,514.87909,13.4373,1.889658,.01342323,0,5,.61000001,.84285951,.039999999,8.8898592,.036499999,.029999999,.17,.13,.0535,.16,.49688399,0,103.62,0,71.099998,.050000001,0,.029999999,0,0,.4305,.003,.243,1,5.3955011,.33539999,17909,.074990198,.48800001,1,83,0,1,18.682919,0,0,29.111433,.01463953,.18620689,0,0,0,.95999998,0
CHL,0,.33333334,7.818182,9.336092,0,0,-1.3356012,1,0,4.232656,82.099998,0,16.000002,0,0,1,.050625,17,27,37,-4,6,70,93,38,64,1,1,0,0,0,0,50,0,0,0,0,0,21700,0,0,74.940002,12.8,13.4,.660182,.33333299,50,1,1,177,5,7,26.492008,1,1,1,.875,57.200001,26.6,3.8,.18587278,112.301,111.604,1532.05,19.204185,6,6,68.900002,68.900002,1,37,0,162.58899,.14,.57872969,.67198443,.57418042,.65961355,.26709402,.53418803,.80128205,.80128205,200000,400000,600000,0,1,8.4580374,1.1267796,1.222497,0,95.096649,.78215998,748800,30,-71,19768.32,.35664669,8.2940493,8.7020702,0,0,1,1.9,82.099998,0,16,9783134,19116209,4552.2554,14050.176,17.128288,19.823317,44535324672,268586104417.696,20.332216,.022796193,.013487684,8.423378,16.09617,8290,0,0,.83333331,0,98.3452,9.127183,15.93215,.018302141,0,5,0,1.3967396,.023,7.9672804,.0262,.059999999,.12,.2,.15180001,.039999999,.92261398,0,60.490002,1,57.299999,.68000001,0,.16,0,0,.28999999,0,.93099999,1,41.642334,.39390001,7614,.047412701,.95599997,5.7800002,100,.2,0,16.905024,0,1,1734.0839,-.031845376,.28275862,.054000001,.039999999,1,.41999999,0
